support,itemsets
0.09471354559629798,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.09546803480710225,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.04949449222876113,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.05060107640460741,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteCount_voteCount=(-0.001, 193.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.13736733564710024,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteAvg_voteAvg=(6.4, 10.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.11895779890347569,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.06830642321814798,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.04426336703385141,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]'})"
0.05613399728383884,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.17016246667672652,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.06166691816307027,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.051405864896131984,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.37362305719028216,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.11377697298928625,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.11065841758462854,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.03007896987073085,"frozenset({'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
